loan_id,sector,state,loan_amount_usd,credit_score,debt_to_income_ratio,default_probability,decision,underwriter_brief
L00237,Construction,PA,342217.5,598,0.335,0.8459,Decline,"RISK SUMMARY: Decline at 84.6% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Low credit score (598) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00240,Construction,NY,441264.63,675,0.344,0.566,Review,"RISK SUMMARY: Review at 56.6% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00241,Manufacturing,CA,493118.24,638,0.428,0.6088,Review,"RISK SUMMARY: Review at 60.9% default probability. Business operating history (4 years) is limited.

KEY SIGNALS:
- Business operating history (4 years) is limited.
- Requested loan amount ($493,118) is large for this portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00246,Agriculture,CA,497959.82,540,0.407,0.7186,Decline,"RISK SUMMARY: Decline at 71.9% default probability. Low credit score (540) materially increases default risk.

KEY SIGNALS:
- Low credit score (540) materially increases default risk.
- Requested loan amount ($497,960) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00249,Hospitality,TX,448939.5,685,0.48,0.8229,Decline,"RISK SUMMARY: Decline at 82.3% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Requested loan amount ($448,940) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00251,Agriculture,GA,287090.87,594,0.198,0.5431,Review,"RISK SUMMARY: Review at 54.3% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (594) materially increases default risk.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00252,Technology,PA,228666.53,587,0.628,0.7919,Decline,"RISK SUMMARY: Decline at 79.2% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- Low credit score (587) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00255,Manufacturing,NY,293265.43,564,0.127,0.7917,Decline,"RISK SUMMARY: Decline at 79.2% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (564) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00256,Construction,WA,348841.67,610,0.631,0.6721,Decline,"RISK SUMMARY: Decline at 67.2% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- Business operating history (6 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00257,Agriculture,TX,449789.59,553,0.261,0.8832,Decline,"RISK SUMMARY: Decline at 88.3% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Low credit score (553) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00258,Technology,TX,112824.23,575,0.414,0.784,Decline,"RISK SUMMARY: Decline at 78.4% default probability. Low credit score (575) materially increases default risk.

KEY SIGNALS:
- Low credit score (575) materially increases default risk.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00260,Healthcare,IL,367300.52,612,0.586,0.7811,Decline,"RISK SUMMARY: Decline at 78.1% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Debt-to-income ratio (0.59) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00261,Retail,WA,400398.95,732,0.328,0.7393,Decline,"RISK SUMMARY: Decline at 73.9% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00263,Retail,WA,204064.17,534,0.558,0.9101,Decline,"RISK SUMMARY: Decline at 91.0% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Low credit score (534) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00264,Construction,WA,400654.65,755,0.591,0.4633,Review,"RISK SUMMARY: Review at 46.3% default probability. Debt-to-income ratio (0.59) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.59) is high relative to the training portfolio.
- Requested loan amount ($400,655) is large for this portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00265,Construction,WA,156678.44,529,0.215,0.4358,Review,"RISK SUMMARY: Review at 43.6% default probability. Low credit score (529) materially increases default risk.

KEY SIGNALS:
- Low credit score (529) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00267,Construction,NY,52530.91,674,0.219,0.4089,Review,"RISK SUMMARY: Review at 40.9% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00268,Agriculture,OH,227449.31,776,0.185,0.453,Review,"RISK SUMMARY: Review at 45.3% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00274,Retail,PA,34723.45,738,0.316,0.49,Review,"RISK SUMMARY: Review at 49.0% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00278,Technology,IL,291592.35,574,0.279,0.5672,Review,"RISK SUMMARY: Review at 56.7% default probability. Low credit score (574) materially increases default risk.

KEY SIGNALS:
- Low credit score (574) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00280,Healthcare,OH,350125.25,559,0.507,0.8249,Decline,"RISK SUMMARY: Decline at 82.5% default probability. Low credit score (559) materially increases default risk.

KEY SIGNALS:
- Low credit score (559) materially increases default risk.
- Debt-to-income ratio (0.51) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00282,Technology,OH,40126.29,520,0.516,0.7442,Decline,"RISK SUMMARY: Decline at 74.4% default probability. Low credit score (520) materially increases default risk.

KEY SIGNALS:
- Low credit score (520) materially increases default risk.
- Debt-to-income ratio (0.52) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00284,Retail,CA,493346.61,670,0.134,0.4404,Review,"RISK SUMMARY: Review at 44.0% default probability. Requested loan amount ($493,347) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($493,347) is large for this portfolio.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00285,Agriculture,GA,148282.53,721,0.444,0.4245,Review,"RISK SUMMARY: Review at 42.5% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Loan purpose (Expansion) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00289,Manufacturing,PA,293189.87,657,0.326,0.4871,Review,"RISK SUMMARY: Review at 48.7% default probability. Business operating history (8 years) is limited.

KEY SIGNALS:
- Business operating history (8 years) is limited.
- State cohort (PA) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00290,Healthcare,IL,65450.54,560,0.178,0.4722,Review,"RISK SUMMARY: Review at 47.2% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (560) materially increases default risk.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00291,Healthcare,PA,130163.34,796,0.539,0.7019,Decline,"RISK SUMMARY: Decline at 70.2% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Debt-to-income ratio (0.54) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00292,Healthcare,IL,232477.04,689,0.332,0.4775,Review,"RISK SUMMARY: Review at 47.7% default probability. Loan purpose (Real Estate) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Real Estate) has performed worse than the portfolio average.
- Employee count (400) is smaller than stronger-performing cohorts.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00294,Agriculture,IL,150539.67,559,0.568,0.8966,Decline,"RISK SUMMARY: Decline at 89.7% default probability. Low credit score (559) materially increases default risk.

KEY SIGNALS:
- Low credit score (559) materially increases default risk.
- Debt-to-income ratio (0.57) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00295,Healthcare,NY,135908.3,597,0.463,0.8847,Decline,"RISK SUMMARY: Decline at 88.5% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Low credit score (597) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00296,Agriculture,PA,98596.5,695,0.641,0.4848,Review,"RISK SUMMARY: Review at 48.5% default probability. Debt-to-income ratio (0.64) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.64) is high relative to the training portfolio.
- Business operating history (9 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00298,Retail,NC,411570.19,724,0.362,0.4507,Review,"RISK SUMMARY: Review at 45.1% default probability. Sector exposure (Retail) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Retail) has historically produced higher defaults in this sample.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00300,Retail,TX,183375.77,659,0.284,0.8244,Decline,"RISK SUMMARY: Decline at 82.4% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00303,Healthcare,TX,301127.91,582,0.489,0.7456,Decline,"RISK SUMMARY: Decline at 74.6% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Low credit score (582) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00306,Hospitality,PA,136536.92,555,0.37,0.6961,Decline,"RISK SUMMARY: Decline at 69.6% default probability. Low credit score (555) materially increases default risk.

KEY SIGNALS:
- Low credit score (555) materially increases default risk.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00307,Hospitality,TX,386666.59,574,0.602,0.8363,Decline,"RISK SUMMARY: Decline at 83.6% default probability. Low credit score (574) materially increases default risk.

KEY SIGNALS:
- Low credit score (574) materially increases default risk.
- Debt-to-income ratio (0.60) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00309,Manufacturing,TX,201751.88,771,0.363,0.458,Review,"RISK SUMMARY: Review at 45.8% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00310,Hospitality,GA,392116.64,703,0.283,0.8724,Decline,"RISK SUMMARY: Decline at 87.2% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00311,Construction,FL,189024.13,755,0.518,0.6349,Review,"RISK SUMMARY: Review at 63.5% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00312,Hospitality,FL,350982.32,703,0.368,0.8044,Decline,"RISK SUMMARY: Decline at 80.4% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00313,Retail,OH,498227.94,552,0.536,0.9708,Decline,"RISK SUMMARY: Decline at 97.1% default probability. Low credit score (552) materially increases default risk.

KEY SIGNALS:
- Low credit score (552) materially increases default risk.
- Business operating history (5 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00314,Agriculture,GA,497958.48,692,0.533,0.4782,Review,"RISK SUMMARY: Review at 47.8% default probability. Requested loan amount ($497,958) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($497,958) is large for this portfolio.
- Debt-to-income ratio (0.53) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00316,Hospitality,OH,32442.83,545,0.598,0.9119,Decline,"RISK SUMMARY: Decline at 91.2% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Low credit score (545) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00319,Retail,CA,381199.54,604,0.341,0.6845,Decline,"RISK SUMMARY: Decline at 68.5% default probability. Credit score (604) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (604) is below the stronger-performing borrower range.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00321,Construction,FL,243246.11,658,0.388,0.4548,Review,"RISK SUMMARY: Review at 45.5% default probability. Loan purpose (Expansion) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Expansion) has performed worse than the portfolio average.
- Interest rate (7.28%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00323,Healthcare,IL,432738.22,757,0.524,0.4149,Review,"RISK SUMMARY: Review at 41.5% default probability. Business operating history (4 years) is limited.

KEY SIGNALS:
- Business operating history (4 years) is limited.
- Debt-to-income ratio (0.52) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00324,Agriculture,CA,484601.18,601,0.469,0.5721,Review,"RISK SUMMARY: Review at 57.2% default probability. Business operating history (4 years) is limited.

KEY SIGNALS:
- Business operating history (4 years) is limited.
- Credit score (601) is below the stronger-performing borrower range.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00325,Manufacturing,NY,312241.48,546,0.609,0.8532,Decline,"RISK SUMMARY: Decline at 85.3% default probability. Low credit score (546) materially increases default risk.

KEY SIGNALS:
- Low credit score (546) materially increases default risk.
- Debt-to-income ratio (0.61) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00326,Hospitality,FL,448588.8,686,0.33,0.7749,Decline,"RISK SUMMARY: Decline at 77.5% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00328,Hospitality,WA,308622.44,589,0.352,0.8657,Decline,"RISK SUMMARY: Decline at 86.6% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (589) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00329,Manufacturing,GA,349183.16,576,0.568,0.8631,Decline,"RISK SUMMARY: Decline at 86.3% default probability. Low credit score (576) materially increases default risk.

KEY SIGNALS:
- Low credit score (576) materially increases default risk.
- Debt-to-income ratio (0.57) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00330,Agriculture,FL,154629.14,607,0.418,0.5942,Review,"RISK SUMMARY: Review at 59.4% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Credit score (607) is below the stronger-performing borrower range.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00334,Technology,PA,499486.31,676,0.189,0.807,Decline,"RISK SUMMARY: Decline at 80.7% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Requested loan amount ($499,486) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00335,Hospitality,TX,438357.53,709,0.445,0.6944,Decline,"RISK SUMMARY: Decline at 69.4% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- State cohort (TX) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00337,Construction,PA,473207.89,576,0.311,0.7661,Decline,"RISK SUMMARY: Decline at 76.6% default probability. Low credit score (576) materially increases default risk.

KEY SIGNALS:
- Low credit score (576) materially increases default risk.
- Requested loan amount ($473,208) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00340,Technology,IL,268074.47,792,0.473,0.4025,Review,"RISK SUMMARY: Review at 40.2% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Debt-to-income ratio (0.47) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00341,Agriculture,NY,406309.98,754,0.148,0.5415,Review,"RISK SUMMARY: Review at 54.1% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00342,Retail,IL,351570.23,624,0.386,0.6501,Decline,"RISK SUMMARY: Decline at 65.0% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00346,Manufacturing,NY,358787.96,609,0.562,0.6877,Decline,"RISK SUMMARY: Decline at 68.8% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Debt-to-income ratio (0.56) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00347,Technology,NY,137599.53,537,0.466,0.9656,Decline,"RISK SUMMARY: Decline at 96.6% default probability. Low credit score (537) materially increases default risk.

KEY SIGNALS:
- Low credit score (537) materially increases default risk.
- Business operating history (2 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00348,Hospitality,OH,271485.05,727,0.612,0.6235,Review,"RISK SUMMARY: Review at 62.3% default probability. Debt-to-income ratio (0.61) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.61) is high relative to the training portfolio.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00349,Retail,PA,488044.51,671,0.361,0.8855,Decline,"RISK SUMMARY: Decline at 88.5% default probability. Business operating history (5 years) is limited.

KEY SIGNALS:
- Business operating history (5 years) is limited.
- Requested loan amount ($488,045) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00350,Construction,TX,175955.37,540,0.177,0.4678,Review,"RISK SUMMARY: Review at 46.8% default probability. Low credit score (540) materially increases default risk.

KEY SIGNALS:
- Low credit score (540) materially increases default risk.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00351,Healthcare,IL,185122.84,619,0.421,0.6247,Review,"RISK SUMMARY: Review at 62.5% default probability. Credit score (619) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (619) is below the stronger-performing borrower range.
- Interest rate (5.24%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00352,Healthcare,PA,339063.31,721,0.207,0.698,Decline,"RISK SUMMARY: Decline at 69.8% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00353,Construction,WA,360822.25,710,0.107,0.4634,Review,"RISK SUMMARY: Review at 46.3% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00354,Hospitality,NY,115690.63,732,0.542,0.6656,Decline,"RISK SUMMARY: Decline at 66.6% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Debt-to-income ratio (0.54) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00355,Construction,WA,419400.65,626,0.267,0.4813,Review,"RISK SUMMARY: Review at 48.1% default probability. Requested loan amount ($419,401) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($419,401) is large for this portfolio.
- Interest rate (5.66%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00357,Technology,FL,413171.62,675,0.372,0.4664,Review,"RISK SUMMARY: Review at 46.6% default probability. Requested loan amount ($413,172) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($413,172) is large for this portfolio.
- Loan purpose (Expansion) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00358,Manufacturing,FL,323872.05,667,0.329,0.566,Review,"RISK SUMMARY: Review at 56.6% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Interest rate (6.18%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00359,Retail,GA,497223.15,705,0.42,0.8985,Decline,"RISK SUMMARY: Decline at 89.8% default probability. Business operating history (1 years) is limited.

KEY SIGNALS:
- Business operating history (1 years) is limited.
- Requested loan amount ($497,223) is large for this portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00360,Construction,PA,350180.1,528,0.565,0.9097,Decline,"RISK SUMMARY: Decline at 91.0% default probability. Low credit score (528) materially increases default risk.

KEY SIGNALS:
- Low credit score (528) materially increases default risk.
- Debt-to-income ratio (0.56) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00361,Manufacturing,CA,349708.69,659,0.299,0.6685,Decline,"RISK SUMMARY: Decline at 66.9% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00362,Technology,NY,47645.07,613,0.521,0.729,Decline,"RISK SUMMARY: Decline at 72.9% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Credit score (613) is below the stronger-performing borrower range.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00363,Agriculture,NY,157525.43,700,0.553,0.5002,Review,"RISK SUMMARY: Review at 50.0% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Debt-to-income ratio (0.55) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00364,Agriculture,NC,461244.61,599,0.377,0.4602,Review,"RISK SUMMARY: Review at 46.0% default probability. Low credit score (599) materially increases default risk.

KEY SIGNALS:
- Low credit score (599) materially increases default risk.
- Requested loan amount ($461,245) is large for this portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00365,Agriculture,CA,354109.8,559,0.164,0.5187,Review,"RISK SUMMARY: Review at 51.9% default probability. Low credit score (559) materially increases default risk.

KEY SIGNALS:
- Low credit score (559) materially increases default risk.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00368,Retail,PA,381093.68,536,0.536,0.9579,Decline,"RISK SUMMARY: Decline at 95.8% default probability. Low credit score (536) materially increases default risk.

KEY SIGNALS:
- Low credit score (536) materially increases default risk.
- Business operating history (4 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00369,Hospitality,FL,31207.93,569,0.53,0.7189,Decline,"RISK SUMMARY: Decline at 71.9% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (569) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00371,Agriculture,IL,257405.52,527,0.391,0.7549,Decline,"RISK SUMMARY: Decline at 75.5% default probability. Low credit score (527) materially increases default risk.

KEY SIGNALS:
- Low credit score (527) materially increases default risk.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00373,Manufacturing,TX,196011.38,728,0.162,0.5295,Review,"RISK SUMMARY: Review at 52.9% default probability. Business operating history (4 years) is limited.

KEY SIGNALS:
- Business operating history (4 years) is limited.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00375,Construction,FL,422134.19,668,0.642,0.4175,Review,"RISK SUMMARY: Review at 41.8% default probability. Debt-to-income ratio (0.64) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.64) is high relative to the training portfolio.
- Requested loan amount ($422,134) is large for this portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00377,Construction,GA,373301.76,621,0.286,0.5519,Review,"RISK SUMMARY: Review at 55.2% default probability. Credit score (621) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (621) is below the stronger-performing borrower range.
- Interest rate (5.37%) is elevated, which often coincides with weaker borrower quality.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
